business_name,vertical,group,website_url,city_area,email,email_source_url,owner_name,phone,site_score,site_signals,notes
Braden Foundation Construction,Concrete / foundation / waterproofing,B,https://www.bradenfoundation.com/,Ottawa,info@bradenfoundation.com,https://www.bradenfoundation.com/,,613-880-8906,3,free_template;no_social_proof;stale_content,Email present; Wix site with stock imagery; no visible testimonials page; no blog dates visible - stale content likely; 35-year warranty claim prominent; foundation crack + waterproofing + underpinning focus; stone/rubble specialty for older Ottawa homes
Hub Machinery Movers,Crane / rigging / industrial equip,A,https://hubmm.ca/,Ottawa,info@hubmm.ca,https://hubmm.ca/contact/,,613-821-1881,3,no_social_proof;free_template;broken_elements,Since 1974; rigging and machinery moving; warehousing and climate-controlled storage; shop services including safeties repairs and rebuilds; Ontario Trucking Assn member; website is brand new (July 2025) minimal placeholder - default WordPress hello-world; /about page 404; real business with decades of history but zero web presence until now
Cedar Ridge Designs & Custom Cabinetry,Custom millwork / cabinet,A,https://cedarridgedesigns.ca/,Maxville ON (serves Ottawa/Eastern Ontario),info@cedarridgedesigns.ca,https://cedarridgedesigns.ca/about/,Colin Unruh,613-527-2600,3,footer_year_2021_or_older_or_none;free_template;stale_content,Custom cabinetry since 2004 commercial and residential; owner Colin Unruh hands-on in sales; strong testimonials page; 3D design itemized estimates no surprises pitch; serves Ottawa Cornwall Brockville areas; award-winning Houzz member; design consultant Julinda Balca email also on site
Ottawa Cabinets,Custom millwork / cabinet,A,https://ottawacabinets.com/,Ottawa,info@ottawacabinets.com,https://ottawacabinets.com/,,(613) 304-3352,3,free_template;stale_content;no_social_proof,Custom kitchen cabinets and commercial carpentry; many informational SEO pages but thin presentation; images dated 2020-2021; no testimonials visible; mentions call for quote; serves Ottawa Kanata Orleans Nepean Stittsville
Bytown Fence Inc.,Deck & fence builders,B,https://www.bytownfenceinc.ca/,Gloucester / Ottawa,sales@bytownfence.com,https://www.bytownfenceinc.ca/contact.php,,613-744-3352,3,no_social_proof;design_pre_2018;footer_year_2021_or_older_or_none,PVC wood iron/hybrid chain link fences and repairs. Since 1989 new ownership 2019. 10000+ fences installed. July peak - summer booking. 5yr workmanship warranty. Dated PHP site no reviews on homepage.
H. Ken Brown Excavating,Excavation / septic,B,https://ottawaexcavating.com,Ottawa (Nepean),kenbrown@ottawaexcavating.com,https://ottawaexcavating.com,,1-613-228-1858,3,design_pre_2018;stale_content;footer_year_2021_or_older_or_none,Excavation + water & sewer since 1975; strong testimonials (multiple 5-star quotes); site built ~2016 (WordPress old theme); kenbrown@ owner-named email; 24/7 emergency available; July busy season for foundation + sewer work; strong social proof but website badly outdated
Foster Civil Contracting Ltd.,Excavation / septic,B,https://www.fostercivilco.ca,Woodlawn / Ottawa Valley,bradfoster@fostercivilco.ca,https://www.fostercivilco.ca,Brad Foster,613-621-3047,3,free_template;footer_year_2021_or_older_or_none;no_social_proof,Septic design + excavation + lot grading + land clearing + site prep; owner is Brad Foster (bradfoster@ email); Wix site with no reviews visible; serves Ottawa Valley; July = peak septic install + new home build season; strong candidate — sole owner easy to reach
Fineline Manufacturing Inc,Machine shops,A,http://www.finelinemfg.ca/,Nepean,sales@finelinemfg.ca,http://www.finelinemfg.ca/,,613-726-0013,3,no_ssl;footer_year_2021_or_older_or_none;no_social_proof,Precision multi-axis CNC milling+turning; prototyping/custom fixtures/one-off builds; low-to-mid volume production; telecom/semiconductor/defence; footer copyright 2019; http:// only (no SSL); no testimonials; strong testimonial-match: custom fixtures and one-off builds for demanding industries
Ridalco Industries,Metal fabrication / welding,A,https://www.ridalco.com/,Vars,info@ridalco.com,https://www.ridalco.com/contact.html,,613-745-9161,3,footer_year_2021_or_older_or_none;design_pre_2018;free_template,Stainless steel/aluminum custom fab; stainless countertops/sinks/cabinetry for restaurants/hospitals/residential; strong testimonials; zincnorth lookalike angle: both do custom stainless/metal for industrial and institutional clients - testimonial match possible on quality and turnaround
Universal Welding,Mobile welding,B,https://universalwelding.ca/,Embrun / Orleans area,pascal@universalwelding.ca,https://universalwelding.ca/contact/,Pascal,613-799-4084,3,footer_year_2021_or_older_or_none;no_clear_cta;stale_content,"Mobile welding truck, serves residential/commercial/agricultural/industrial, bilingual EN/FR, projects portfolio active, new shop and truck added 2025"
Bytown Paving,Paving / asphalt sealing,B,https://www.bytownpaving.ca/,Ottawa,info@bytownpaving.ca,https://www.bytownpaving.ca/contact,,613-235-8767,3,free_template;no_clear_cta;footer_year_2021_or_older_or_none,Residential and commercial asphalt and concrete; landscaping; 30%+ referral business; group neighbour discounts; July peak season; Wix free-template site
Bulldog Sealing and Asphalt Repair,Paving / asphalt sealing,B,https://www.bulldogsealingasphalt.com/,Ottawa / Kanata / Orleans,bulldog.sealing.asphalt.repair@hotmail.com,https://www.bulldogsealingasphalt.com/contact-us/,Dany Jacob,(613) 853-4474,3,free_template;no_clear_cta;footer_year_2021_or_older_or_none,Driveway paving; asphalt sealing; crack repair; interlock; family-owned by Dany Jacob; Homestars Best of 2022-2023; peak July season; serves Kanata Manotick Orleans Gloucester
Canark Ottawa Paving,Paving / asphalt sealing,B,https://canark.ca/,Ottawa / Kanata,info@canark.ca,https://canark.ca/,,613-898-4520,3,design_pre_2018;no_clear_cta;stale_content,Asphalt paving; driveway sealing; landscaping; excavation; interlocking; commercial; equipment rentals; older WP design; July peak season
Ottawa Powder Coating Ltd.,Powder coating / finishing,A,https://ottawapowdercoating.com/,Stittsville,kent@ottawapowdercoating.com,https://ottawapowdercoating.com/#contact,Kent Schroeder,613-836-0554,3,no_clear_cta;stale_content;slow_load,"Powder coating residential+commercial+industrial. Strong testimonials from Sport Systems Canada, TAMCO, Precise Metafab. Owner Kent 40+ yrs experience. 'Call for quote' model only - no online form. Site footer 2022, gallery images from 2015. Angle: missed-quote conversions, modernize site for residential/commercial walk-ins."
Archer Precision Inc.,Tool & die / precision mfg,A,https://www.archerprecision.ca/,Ottawa,info@archerprecision.ca,https://www.archerprecision.ca/,Alex Mazerolle,(613) 226-1579,3,free_template;no_social_proof;stale_content,5-axis CNC machining; aerospace/medical/military; clients include Safran/Curtiss-Wright; founder Alex Mazerolle named; Wix site copyright 2022; testimonial angle: precision aerospace supplier seeking more OEM business | Also appears under vertical(s): Machine shops.
Air Rock Drilling Company,Well drilling / water treatment,B,https://www.air-rockdrilling.com/,"Richmond, ON",info@air-rockdrilling.com,https://www.air-rockdrilling.com/contact-us,,613-838-2170,3,free_template;footer_year_2021_or_older_or_none;no_social_proof,"Rotary and hammer drilling, residential/commercial/geothermal. Multiple area phone numbers (Ottawa/Richmond/Toledo/Gananoque). No online reviews shown on site. YP/Wix builder site. Well drilling, pumps and tanks."
