tier,business_name,vertical,group,website_url,city_area,email,email_source_url,owner_name,phone,site_score,site_signals,size_check,optout_notice,qualified,disqualify_reason,notes
qualified,Carleton Electric Ltd.,Commercial electrical,A,https://carletonelectric.com,Nepean / Ottawa,info@carletonelectric.com,https://carletonelectric.com/contact-us/,,613-244-1588,4,design_pre_2018;no_clear_cta;no_social_proof;stale_content,"PASS - 18 employees (under 20 threshold), single Nepean location, established 1988, no careers page",FALSE,TRUE,,"Specializes in medium/high-voltage preventive maintenance, fire alarm, control systems, substations; 18 long-tenured staff; 2017 WordPress theme design, no reviews/testimonials, no quote form; copyright 2026 but content appears unchanged since 2017"
qualified,Ottawa Structural Residential Services,Concrete / foundation / waterproofing,B,https://www.ottawastructural.com/,Ottawa,estimates@ottawastructural.com,https://www.ottawastructural.com/,,613-226-1234,4,free_template;no_social_proof;stale_content;footer_year_2021_or_older_or_none,PASS - small Ottawa-only firm; meet-the-team page; no multi-location or franchise signals; single phone + email,FALSE,TRUE,,Wix site with no visible testimonials or reviews; no footer year visible; email on homepage header; basement waterproofing + foundation replacement + underpinning + crack injection + window wells; Platon membrane specialist; small local operator
qualified,Barrhaven Roofing & Foundation,Concrete / foundation / waterproofing,B,https://www.barrhavenroofing.ca/,Barrhaven,it@613roofing.ca,https://www.barrhavenroofing.ca/foundation.php,,613-255-2323,4,design_pre_2018;no_social_proof;stale_content;footer_year_2021_or_older_or_none,PASS - small local Barrhaven multi-trade contractor; owner Chem mentioned; single local area; no franchise signals,FALSE,TRUE,,Multi-service: roofing + siding + foundation + snow removal; very basic old HTML carousel site with no footer year; no testimonials; epoxy + polyurethane crack injection + waterproofing; email it@613roofing.ca on contact page; free quotes emphasis; foundation is one of several services
qualified,Ottawa Millhouse,Custom millwork / cabinet,A,https://www.ottawamillhouse.com/,Ottawa,info@ottawamillhouse.com,https://www.ottawamillhouse.com/contacts/,,613-228-1220,4,footer_year_2021_or_older_or_none;stale_content;no_social_proof;no_clear_cta,"PASS - family-run business (father and sons), single Ottawa location 207 Colonnade Rd S",FALSE,TRUE,,Family millwork business commercial and residential; closets cabinets kitchen design studio 3D design; footer copyright 2021; site images dated 2017-2021; no testimonials on site; good testimonial angle - family legacy story; serves offices clinics retail
qualified,Old Salt Millwork,Custom millwork / cabinet,A,https://www.oldsaltmillwork.com/,Vars ON (eastern Ottawa),info@oldsaltmillwork.com,https://www.oldsaltmillwork.com/contact/,,,4,footer_year_2021_or_older_or_none;no_clear_cta;stale_content;slow_load,"PASS - small local shop, 296 Entreprise St Vars ON, no multi-location indicators",FALSE,TRUE,,Commercial millwork and residential cabinetry; staff member AJ mentioned in homepage testimonial; testimonial angle: stress-free process and faster than expected delivery; footer 2022; iStock images suggest low-budget site; no phone number on site; good testimonial angle matches Group A lookalike
qualified,NewDecks.ca (22 Acre Inc.),Deck & fence builders,B,https://newdecks.ca/,Ottawa / Nepean / Barrhaven / Kanata,info@newdecks.ca,https://newdecks.ca/,,613-868-0022,4,no_social_proof;stale_content;no_clear_cta;slow_load,"PASS - small local family business 22 Acre Inc., Ottawa-born company",FALSE,TRUE,,Custom decks fences interlock sod landscaping. Booking 2026. July peak - booking open now. Pain point: privacy for close-together Ottawa homes. Info email on own domain.
qualified,Doulos Construction Limited,Excavation / septic,B,https://www.doulosottawa.com,Ottawa,doulosconstruction@gmail.com,https://www.doulosottawa.com,,,4,free_template;footer_year_2021_or_older_or_none;design_pre_2018;no_clear_cta,PASS — small family-owned Ottawa contractor; single location; no franchise markers,FALSE,TRUE,,Sewer & water specialists + excavating; emergency 24/7; site is © 2011 Wix build; no phone prominently shown; gmail contact; services include lead pipe replacement; specializes in NCR; July peak season relevant (site servicing + foundation work)
qualified,Jacques Bédard Excavation Ltd.,Excavation / septic,B,https://www.bedardexcavation.ca,"Ottawa, Navan / Orleans",info@bedardexcavation.ca,https://www.bedardexcavation.ca,,613-824-3208,4,free_template;footer_year_2021_or_older_or_none;no_clear_cta;no_social_proof,PASS — single location (Ottawa ON K4B); local family business since 1969; no franchise markers,FALSE,TRUE,,Excavation specialist since 1969; built by Yellow Pages (Wix equivalent); no reviews section visible; Ottawa + Orléans + Gloucester + Nepean + Kanata + Navan service area; drainage / backfill / grading / water & sewer; July peak season for new construction
qualified,Mr. Septic Inc.,Excavation / septic,B,https://www.mrseptic.com,Ottawa area,info@mrseptic.com,https://www.mrseptic.com/contact-us.html,,613-821-1820,4,design_pre_2018;footer_year_2021_or_older_or_none;stale_content;no_social_proof,PASS — small local Ottawa septic specialist; single operator; no franchise/chain markers,FALSE,TRUE,,Septic installation + design + inspections + repairs; website is table-based old layout with Google+ links (clearly pre-2018); licensed by Ontario MOE; Manotick/Ottawa service area; July = peak season for new septic installs; no reviews visible on site; strong candidate for modernisation pitch
qualified,Orleans Garage Doors Inc,Garage door installation,B,https://orleansgaragedoors.ca/,Orleans Ottawa,orleansgaragedoors@gmail.com,https://orleansgaragedoors.ca/,,613-294-8125,4,free_template;footer_year_2021_or_older_or_none;stale_content;no_clear_cta,PASS - small local residential specialist 30+ years call-based single-page GoDaddy site,FALSE,TRUE,,Over 30 years experience. Torsion springs cables opener replacement. Orleans Ottawa area. Old GoDaddy single-page site. Hours 8am-3pm Mon-Fri. ShopperApproved badge. Gmail on own page. site_score 4 size PASS email on own site qualified.
qualified,Rubes' Interlock & Landscaping Services,Interlock / hardscaping,B,https://rubeslandscaping.ca,Ottawa,contact@rubeslandscaping.ca,https://rubeslandscaping.ca,,613-362-3959,4,free_template;design_pre_2018;no_clear_cta;stale_content,PASS — small owner-operated interlock company; no franchise indicators; ICPI certified,FALSE,TRUE,"Old ESMSV single-page JS template (free-tier builder); pixel.gif tracking images; hash-based routing (#!/ URLs); minimal content with no form visible; stale site design; no testimonials with dates; July peak season — ""call for quote"" only",Steps; driveways; heated driveways; walkways; retaining walls; garden walls; fire pit; sod; patio; pool surround; irrigation; outdoor lighting. Serves Ottawa/Kanata/Stittsville/Nepean/Gloucester/Embrun/Limoges/Kemptville/Casselman/Orleans/Navan. ICPI certified. Testimonials mention owner involvement and competitive prices. Peak season July urgency.
qualified,R Cardinal and Sons,Metal fabrication / welding,A,https://rcardinalandsons.com/,Ottawa,info@rcsonswelding.com,https://rcardinalandsons.com/contact-us/,Ray (owner listed),613-833-3151,4,broken_elements;design_pre_2018;no_clear_cta;stale_content,PASS - family shop on Trim Road Ottawa; formerly M. Cardinal Truck Equipment,FALSE,TRUE,,Truck equipment fabrication; steel/stainless/aluminum fab; brake and shear work; plow distribution; portfolio has Lorem Ipsum placeholder text (broken/stale); Google+ link still live; website badly neglected - strong prospect; owner name Ray listed; zincnorth lookalike: both do custom steel fabrication with industrial/commercial clients and pride in craftsmanship | Also appears under vertical(s): Machine shops.
qualified,Sam's Welding,Mobile welding,B,https://www.samswelding.ca/,Carp,samchahineswelding@gmail.com,https://www.samswelding.ca/,Sam Chahine,613-261-8318,4,footer_year_2021_or_older_or_none;no_clear_cta;no_social_proof;stale_content,"PASS - sole owner Sam Chahine, Carp location, single truck, 35 years experience sole trader",FALSE,TRUE,,"Truck equipment (dump boxes, landscape bodies, flat decks), wrought iron gates/railings, mobile van. Owner Sam Chahine since 1989. Carp location. Basic single-page Bootstrap template, no reviews shown. | Also appears under vertical(s): Metal fabrication / welding."
qualified,Baudequin Mobile Welding,Mobile welding,B,https://www.baudequinwelding.com/,Navan / Ottawa,samuel@baudequinwelding.com,https://www.baudequinwelding.com/,Samuel Baudequin,613-795-8991,4,footer_year_2021_or_older_or_none;free_template;no_clear_cta;no_social_proof,"PASS - CWB certified, single owner, Navan based, no chain, no franchise",FALSE,TRUE,,"CWB certified, crane-equipped service rigs, heavy equipment/crusher/conveyor repairs, agricultural, CNC plasma cutting, press brake. Social links point to Wix defaults. Footer says 2018."
qualified,Asphalt Ottawa,Paving / asphalt sealing,B,https://asphaltottawa.ca/,Ottawa,info@asphaltottawa.ca,https://asphaltottawa.ca/,,613-454-5977,4,design_pre_2018;no_clear_cta;no_social_proof;free_template,PASS - small local contractor; no careers; minimal site,FALSE,TRUE,,Asphalt driveway; interlock; concrete paving; basic contact form; no visible testimonials; old WordPress build; July peak demand
qualified,Ottawa Quality Paint Finishing Ltd.,Powder coating / finishing,A,https://oqpf.ca/,Ottawa,eric@oqpf.ca,https://oqpf.ca/,Eric,613-727-0529,4,broken_elements;no_social_proof;free_template;stale_content,"PASS - single location, 15+ yrs experience, small operation",FALSE,TRUE,,Powder coating specialist. Site launched ~2022 but still has Lorem ipsum placeholder text on multiple sections - signals incomplete/abandoned build. No testimonials or reviews shown. Eastern Ontario + Western Quebec coverage. Owner named Eric. Pain point: half-finished website undermines credibility. Strong angle: they invested in a new site but didn't finish it.
qualified,Shore Machine Works,Tool & die / precision mfg,A,https://shoremachineworks.com/,Ottawa,info@shoremachine.ca,https://shoremachineworks.com/contact-us/,,613-736-1050,4,footer_year_2021_or_older_or_none;no_social_proof;stale_content;no_clear_cta,PASS - single Ottawa location Belgreen Dr; small welding+machining operation; no team page with 20+ staff,FALSE,TRUE,,"CNC machining + welding + hydraulic repairs + fabrication; farm/construction equipment repairs; founded 1971; currently hiring machinists/welders; COVID hours still on contact page; no CTA or quote form; zincnorth.ca lookalike - long-standing trade shop with dated site | Also appears under vertical(s): Machine shops, Metal fabrication / welding."
qualified,Fresa Precision Machining Inc.,Tool & die / precision mfg,A,https://www.fresa.ca/,Ottawa,info@fresa.ca,https://www.fresa.ca/#contact,,613-723-3445,4,footer_year_2021_or_older_or_none;no_social_proof;stale_content;no_clear_cta,PASS - single Ottawa location 151 Bentley Ave; machining/welding shop; no team page with 20+ roles,FALSE,TRUE,,Machining and welding one-stop shop; custom parts from drawings; prototyping + production; served food inspection/safety/construction clients; past projects listed but no named testimonials; zincnorth.ca lookalike - trade shop owner built site ~2018; toll-free 1-888 number | Also appears under vertical(s): Machine shops.
qualified,Cross & Associates Manufacturing Inc.,Tool & die / precision mfg,A,https://www.cam.on.ca/,Nepean,peter@cam.on.ca,https://www.cam.on.ca/contact.html,Peter Draycott,613-226-3002,4,footer_year_2021_or_older_or_none;design_pre_2018;no_clear_cta;no_social_proof,PASS - single Nepean location; small team implied; no careers listings; only 5 Google reviews,FALSE,TRUE,,Precision CNC machining; defence/telecom/bio-medical/transportation; AS9100D+ISO 9001:2015; CGP; Peter Draycott President with direct email peter@cam.on.ca; very minimal static HTML site; strong zincnorth.ca lookalike
qualified,Dan's Precision Tools Inc.,Tool & die / precision mfg,A,https://www.dans-precision-tools.com/,Ottawa,daniel@dans-precision-tools.com,https://www.dans-precision-tools.com/index.html,Daniel Surprenant,(613) 835-3097,4,design_pre_2018;no_social_proof;stale_content;no_clear_cta,PASS - single Vars ON location east Ottawa; owner Daniel Surprenant President signed site; no careers page,FALSE,TRUE,,CNC machining + injection moulding + tooling + prototyping; 5-axis; 50-300 ton injection moulding; full in-house mould making; owner Daniel Surprenant signed welcome letter; email obfuscated on site indicating low web savvy; top zincnorth.ca lookalike prospect
qualified,Desforges Water Treatment,Well drilling / water treatment,B,https://www.desforgeswater.com/,"St-Isidore, ON",info@desforgeswater.com,https://www.desforgeswater.com/,Pierre Desforges / Mathieu Desforges,613-524-2177,4,design_pre_2018;footer_year_2021_or_older_or_none;no_social_proof;stale_content,"PASS - family business, owners Pierre and Mathieu Desforges, single location St-Isidore ON",FALSE,TRUE,,"Water softeners, RO, UV, iron/sulphur filters. EcoWater and Durastill brands. Serves Rockland, Embrun, Hawkesbury, Cornwall near Ottawa. Free in-home water analysis. 25 yrs. Bilingual EN/FR."
qualified,Ottawa Chimney Services,Chimney & masonry repair,B,https://www.ottawachimneyservices.com/,Ottawa,JACOBDIXON@OTTAWACHIMNEYSERVICES.COM,https://www.ottawachimneyservices.com/,Jacob Dixon,613-809-3991,3,free_template;no_social_proof;footer_year_2021_or_older_or_none,"PASS - solo self-employed operator since 2019, single location",FALSE,TRUE,,"Chimney cleaning, repair, capping, inspection; solo operator; pre-books fall sweeps; seasonal urgency; Wix stock site with no reviews visible; self-employed since 2019"
qualified,Top Notch Masonry,Chimney & masonry repair,B,https://topnotchmasonry.ca/,Ottawa,matt@topnotchmasonry.ca,https://topnotchmasonry.ca/,Matt Renaud,613-986-0545,3,broken_elements;no_social_proof;free_template,"PASS - owner/operator does all work himself, small team, no franchise",FALSE,TRUE,,"Chimney restoration, brick replacement, parging, stone fireplace; owner Matt Renaud personally on every job; 12+ years experience; placeholder text (info@website.com) still visible; 1 Google review only; generic WP template 2023"
qualified,Braden Foundation Construction,Concrete / foundation / waterproofing,B,https://www.bradenfoundation.com/,Ottawa,info@bradenfoundation.com,https://www.bradenfoundation.com/,,613-880-8906,3,free_template;no_social_proof;stale_content,PASS - family-owned local Ottawa business 20+ years; single location; no franchise signals,FALSE,TRUE,,Email present; Wix site with stock imagery; no visible testimonials page; no blog dates visible - stale content likely; 35-year warranty claim prominent; foundation crack + waterproofing + underpinning focus; stone/rubble specialty for older Ottawa homes
qualified,Hub Machinery Movers,Crane / rigging / industrial equip,A,https://hubmm.ca/,Ottawa,info@hubmm.ca,https://hubmm.ca/contact/,,613-821-1881,3,no_social_proof;free_template;broken_elements,PASS - single Ottawa location since 1974 under current ownership,FALSE,TRUE,,Since 1974; rigging and machinery moving; warehousing and climate-controlled storage; shop services including safeties repairs and rebuilds; Ontario Trucking Assn member; website is brand new (July 2025) minimal placeholder - default WordPress hello-world; /about page 404; real business with decades of history but zero web presence until now
qualified,Cedar Ridge Designs & Custom Cabinetry,Custom millwork / cabinet,A,https://cedarridgedesigns.ca/,Maxville ON (serves Ottawa/Eastern Ontario),info@cedarridgedesigns.ca,https://cedarridgedesigns.ca/about/,Colin Unruh,613-527-2600,3,footer_year_2021_or_older_or_none;free_template;stale_content,"PASS - small team of 5 named staff, Maxville ON, single location, founded 2004",FALSE,TRUE,,Custom cabinetry since 2004 commercial and residential; owner Colin Unruh hands-on in sales; strong testimonials page; 3D design itemized estimates no surprises pitch; serves Ottawa Cornwall Brockville areas; award-winning Houzz member; design consultant Julinda Balca email also on site
qualified,Ottawa Cabinets,Custom millwork / cabinet,A,https://ottawacabinets.com/,Ottawa,info@ottawacabinets.com,https://ottawacabinets.com/,,(613) 304-3352,3,free_template;stale_content;no_social_proof,"PASS - single Ottawa location, small operation with info@ email",FALSE,TRUE,,Custom kitchen cabinets and commercial carpentry; many informational SEO pages but thin presentation; images dated 2020-2021; no testimonials visible; mentions call for quote; serves Ottawa Kanata Orleans Nepean Stittsville
qualified,Bytown Fence Inc.,Deck & fence builders,B,https://www.bytownfenceinc.ca/,Gloucester / Ottawa,sales@bytownfence.com,https://www.bytownfenceinc.ca/contact.php,,613-744-3352,3,no_social_proof;design_pre_2018;footer_year_2021_or_older_or_none,"PASS - small local, new ownership 2019, single location 1401 Cyrville Rd Gloucester",FALSE,TRUE,,PVC wood iron/hybrid chain link fences and repairs. Since 1989 new ownership 2019. 10000+ fences installed. July peak - summer booking. 5yr workmanship warranty. Dated PHP site no reviews on homepage.
qualified,H. Ken Brown Excavating,Excavation / septic,B,https://ottawaexcavating.com,Ottawa (Nepean),kenbrown@ottawaexcavating.com,https://ottawaexcavating.com,,1-613-228-1858,3,design_pre_2018;stale_content;footer_year_2021_or_older_or_none,PASS — single Ottawa location; established 1975; no franchise/chain markers; small family-run operation,FALSE,TRUE,,Excavation + water & sewer since 1975; strong testimonials (multiple 5-star quotes); site built ~2016 (WordPress old theme); kenbrown@ owner-named email; 24/7 emergency available; July busy season for foundation + sewer work; strong social proof but website badly outdated
qualified,Foster Civil Contracting Ltd.,Excavation / septic,B,https://www.fostercivilco.ca,Woodlawn / Ottawa Valley,bradfoster@fostercivilco.ca,https://www.fostercivilco.ca,Brad Foster,613-621-3047,3,free_template;footer_year_2021_or_older_or_none;no_social_proof,PASS — very small single-owner operation; Woodlawn ON K0A 3M0; no franchise/chain markers,FALSE,TRUE,,Septic design + excavation + lot grading + land clearing + site prep; owner is Brad Foster (bradfoster@ email); Wix site with no reviews visible; serves Ottawa Valley; July = peak septic install + new home build season; strong candidate — sole owner easy to reach
qualified,Fineline Manufacturing Inc,Machine shops,A,http://www.finelinemfg.ca/,Nepean,sales@finelinemfg.ca,http://www.finelinemfg.ca/,,613-726-0013,3,no_ssl;footer_year_2021_or_older_or_none;no_social_proof,PASS - small single-location shop; Nepean; founded 1989,FALSE,TRUE,,Precision multi-axis CNC milling+turning; prototyping/custom fixtures/one-off builds; low-to-mid volume production; telecom/semiconductor/defence; footer copyright 2019; http:// only (no SSL); no testimonials; strong testimonial-match: custom fixtures and one-off builds for demanding industries
qualified,Ridalco Industries,Metal fabrication / welding,A,https://www.ridalco.com/,Vars,info@ridalco.com,https://www.ridalco.com/contact.html,,613-745-9161,3,footer_year_2021_or_older_or_none;design_pre_2018;free_template,PASS - single-location privately owned job shop since 1940s; moved to 10000 sq ft facility in Vars ON,FALSE,TRUE,,Stainless steel/aluminum custom fab; stainless countertops/sinks/cabinetry for restaurants/hospitals/residential; strong testimonials; zincnorth lookalike angle: both do custom stainless/metal for industrial and institutional clients - testimonial match possible on quality and turnaround
qualified,Universal Welding,Mobile welding,B,https://universalwelding.ca/,Embrun / Orleans area,pascal@universalwelding.ca,https://universalwelding.ca/contact/,Pascal,613-799-4084,3,footer_year_2021_or_older_or_none;no_clear_cta;stale_content,"PASS - single owner-operator, 1 truck, serves Ottawa/Orleans/Embrun, no chain",FALSE,TRUE,,"Mobile welding truck, serves residential/commercial/agricultural/industrial, bilingual EN/FR, projects portfolio active, new shop and truck added 2025"
qualified,Bytown Paving,Paving / asphalt sealing,B,https://www.bytownpaving.ca/,Ottawa,info@bytownpaving.ca,https://www.bytownpaving.ca/contact,,613-235-8767,3,free_template;no_clear_cta;footer_year_2021_or_older_or_none,PASS - established 1989 local family paver; single location; Wix site no modern marketing stack,FALSE,TRUE,,Residential and commercial asphalt and concrete; landscaping; 30%+ referral business; group neighbour discounts; July peak season; Wix free-template site
qualified,Bulldog Sealing and Asphalt Repair,Paving / asphalt sealing,B,https://www.bulldogsealingasphalt.com/,Ottawa / Kanata / Orleans,bulldog.sealing.asphalt.repair@hotmail.com,https://www.bulldogsealingasphalt.com/contact-us/,Dany Jacob,(613) 853-4474,3,free_template;no_clear_cta;footer_year_2021_or_older_or_none,PASS - family owned by Dany Jacob; 15 years; Homestars award 2022-2023; no franchise; single Ottawa market,FALSE,TRUE,,Driveway paving; asphalt sealing; crack repair; interlock; family-owned by Dany Jacob; Homestars Best of 2022-2023; peak July season; serves Kanata Manotick Orleans Gloucester
qualified,Canark Ottawa Paving,Paving / asphalt sealing,B,https://canark.ca/,Ottawa / Kanata,info@canark.ca,https://canark.ca/,,613-898-4520,3,design_pre_2018;no_clear_cta;stale_content,PASS - local since 2012; no franchise; small Ottawa operator,FALSE,TRUE,,Asphalt paving; driveway sealing; landscaping; excavation; interlocking; commercial; equipment rentals; older WP design; July peak season
qualified,Ottawa Powder Coating Ltd.,Powder coating / finishing,A,https://ottawapowdercoating.com/,Stittsville,kent@ottawapowdercoating.com,https://ottawapowdercoating.com/#contact,Kent Schroeder,613-836-0554,3,no_clear_cta;stale_content;slow_load,"PASS - owner-operated, ~8 staff, single Ottawa shop, since 2004",FALSE,TRUE,,"Powder coating residential+commercial+industrial. Strong testimonials from Sport Systems Canada, TAMCO, Precise Metafab. Owner Kent 40+ yrs experience. 'Call for quote' model only - no online form. Site footer 2022, gallery images from 2015. Angle: missed-quote conversions, modernize site for residential/commercial walk-ins."
qualified,Archer Precision Inc.,Tool & die / precision mfg,A,https://www.archerprecision.ca/,Ottawa,info@archerprecision.ca,https://www.archerprecision.ca/,Alex Mazerolle,(613) 226-1579,3,free_template;no_social_proof;stale_content,PASS - founded 2011 by Alex Mazerolle; single Ottawa location; growing year-over-year,FALSE,TRUE,,5-axis CNC machining; aerospace/medical/military; clients include Safran/Curtiss-Wright; founder Alex Mazerolle named; Wix site copyright 2022; testimonial angle: precision aerospace supplier seeking more OEM business | Also appears under vertical(s): Machine shops.
qualified,Air Rock Drilling Company,Well drilling / water treatment,B,https://www.air-rockdrilling.com/,"Richmond, ON",info@air-rockdrilling.com,https://www.air-rockdrilling.com/contact-us,,613-838-2170,3,free_template;footer_year_2021_or_older_or_none;no_social_proof,"PASS - family owned, single location Richmond ON, MOE licensed, 55+ years",FALSE,TRUE,,"Rotary and hammer drilling, residential/commercial/geothermal. Multiple area phone numbers (Ottawa/Richmond/Toledo/Gananoque). No online reviews shown on site. YP/Wix builder site. Well drilling, pumps and tanks."
phone,City Residential Foundation Repair,Concrete / foundation / waterproofing,B,https://www.ottawahomewaterproofing.ca/,Ottawa,,,Chuck Naish,613-859-9387,4,stale_content;design_pre_2018;no_clear_cta;footer_year_2021_or_older_or_none,PASS - small family run business; owner Chuck Naish; Ottawa only; no franchise signals,FALSE,FALSE,no public email - contact page shows phone + form only; no email address on own site,Chuck Naish owner; testimonials from 2015 only; crack injection + waterproofing + sump pump; strong personal owner references; mentions free estimates; old WP site design
phone,Lets Boom Crane Rental,Crane / rigging / industrial equip,A,https://www.letsboom.ca/,Ottawa,,,,613-851-1710,4,footer_year_2021_or_older_or_none;free_template;no_social_proof;no_clear_cta,PASS - small family-owned 2-truck Ottawa operation since 2009,FALSE,FALSE,no public email,Family-owned since 2009; 2 crane trucks + flatdeck trailer; 30 and 40-ton boom trucks; Wix site copyright 2019; call-for-quote only model; IUOE Local 793 member; residential and commercial lifts; Ottawa and surrounding areas
phone,Eastern Crane Rentals,Crane / rigging / industrial equip,A,https://www.easterncranerentals.ca/,Carp,,,Frank Sved,613-402-6440,4,broken_elements;no_social_proof;stale_content;no_clear_cta,PASS - small owner-operated crane rental serving Ottawa and eastern Ontario from Carp,FALSE,FALSE,no public email,Ottawa and eastern Ontario coverage; certified crane operators and riggers; operated crane rentals with rigging design; domain points to wrong app (SiteScribe construction notes tool); effectively has no website; found via YP and SquaredAway; email office@easterncranerentals.ca found in directory only
